Segmento,x_inicio,x_fin,x_medio,y(x_medio),dy/dx,Función_Local
1,0.0,106.6,53.3,2.127,0.009,y = 2.127 + 0.009*(x - 53.300)
2,106.6,213.2,159.9,0.148,-0.023,y = 0.148 + -0.023*(x - 159.900)
3,213.2,319.8,266.5,-4.0,0.001,y = -4.000 + 0.001*(x - 266.500)
4,319.8,426.4,373.1,-6.171,-0.037,y = -6.171 + -0.037*(x - 373.100)
5,426.4,533.0,479.7,-6.66,-0.02,y = -6.660 + -0.020*(x - 479.700)
6,533.0,639.6,586.3,-4.643,0.038,y = -4.643 + 0.038*(x - 586.300)
7,639.6,746.2,692.9,-4.917,-0.021,y = -4.917 + -0.021*(x - 692.900)
8,746.2,852.8,799.5,-6.111,-0.009,y = -6.111 + -0.009*(x - 799.500)
9,852.8,959.4,906.1,-7.559,-0.017,y = -7.559 + -0.017*(x - 906.100)
10,959.4,1066.0,1012.7,-7.424,0.006,y = -7.424 + 0.006*(x - 1012.700)
11,1066.0,1172.6,1119.3,-12.341,-0.05,y = -12.341 + -0.050*(x - 1119.300)
12,1172.6,1279.2,1225.9,-10.02,0.01,y = -10.020 + 0.010*(x - 1225.900)
13,1279.2,1385.8,1332.5,-14.393,-0.018,y = -14.393 + -0.018*(x - 1332.500)
14,1385.8,1492.4,1439.1,-13.688,0.017,y = -13.688 + 0.017*(x - 1439.100)
15,1492.4,1599.0,1545.7,-24.091,-0.179,y = -24.091 + -0.179*(x - 1545.700)
