Segmento,x_inicio_cm,x_fin_cm,x_medio_cm,y_cm,dy/dx,Función_Local_cm
1,0.0,3.3941,1.6971,0.0677,0.0093,y = 0.0677 + 0.0093*(x - 1.6971)
2,3.3941,6.7882,5.0912,0.0047,-0.0226,y = 0.0047 + -0.0226*(x - 5.0912)
3,6.7882,10.1823,8.4853,-0.1274,0.0013,y = -0.1274 + 0.0013*(x - 8.4853)
4,10.1823,13.5764,11.8794,-0.1965,-0.0368,y = -0.1965 + -0.0368*(x - 11.8794)
5,13.5764,16.9705,15.2735,-0.212,-0.0203,y = -0.2120 + -0.0203*(x - 15.2735)
6,16.9705,20.3647,18.6676,-0.1478,0.0379,y = -0.1478 + 0.0379*(x - 18.6676)
7,20.3647,23.7588,22.0617,-0.1566,-0.0208,y = -0.1566 + -0.0208*(x - 22.0617)
8,23.7588,27.1529,25.4558,-0.1946,-0.0086,y = -0.1946 + -0.0086*(x - 25.4558)
9,27.1529,30.547,28.8499,-0.2407,-0.0167,y = -0.2407 + -0.0167*(x - 28.8499)
10,30.547,33.9411,32.244,-0.2364,0.0058,y = -0.2364 + 0.0058*(x - 32.2440)
11,33.9411,37.3352,35.6382,-0.3929,-0.0505,y = -0.3929 + -0.0505*(x - 35.6382)
12,37.3352,40.7293,39.0323,-0.319,0.0099,y = -0.3190 + 0.0099*(x - 39.0323)
13,40.7293,44.1234,42.4264,-0.4583,-0.0181,y = -0.4583 + -0.0181*(x - 42.4264)
14,44.1234,47.5175,45.8205,-0.4358,0.0168,y = -0.4358 + 0.0168*(x - 45.8205)
15,47.5175,50.9116,49.2146,-0.7671,-0.1785,y = -0.7671 + -0.1785*(x - 49.2146)
