Segmento,Punto_Inicio,Punto_Medio,Punto_Final,x_inicio_cm,y_inicio_cm,x_medio_cm,y_medio_cm,x_fin_cm,y_fin_cm,Pendiente_dy_dx,Funcion_Polinomica
1,"(0.000, 0.000)","(1.987, 0.000)","(3.973, 0.012)",0.0,0.0,1.9865,0.0002,3.9731,0.0121,0.0823,y = 0.0002 + 0.0823×(x - 1.9865)
2,"(3.973, 0.012)","(5.960, -0.089)","(7.946, -0.118)",3.9731,0.0121,5.9596,-0.0887,7.9462,-0.1178,-0.002,y = -0.0887 + -0.0020×(x - 5.9596)
3,"(7.946, -0.118)","(9.933, -0.138)","(11.919, -0.054)",7.9462,-0.1178,9.9327,-0.1378,11.9193,-0.0545,0.0447,y = -0.1378 + 0.0447×(x - 9.9327)
4,"(11.919, -0.054)","(13.906, -0.141)","(15.892, -0.216)",11.9193,-0.0545,13.9058,-0.1408,15.8924,-0.216,-0.0591,y = -0.1408 + -0.0591×(x - 13.9058)
5,"(15.892, -0.216)","(17.879, -0.207)","(19.865, -0.165)",15.8924,-0.216,17.8789,-0.2074,19.8655,-0.1647,0.0178,y = -0.2074 + 0.0178×(x - 17.8789)
6,"(19.865, -0.165)","(21.852, -0.149)","(23.839, -0.174)",19.8655,-0.1647,21.852,-0.1491,23.8386,-0.1736,-0.0056,y = -0.1491 + -0.0056×(x - 21.8520)
7,"(23.839, -0.174)","(25.825, -0.197)","(27.812, -0.212)",23.8386,-0.1736,25.8251,-0.1965,27.8117,-0.2117,-0.0087,y = -0.1965 + -0.0087×(x - 25.8251)
8,"(27.812, -0.212)","(29.798, -0.229)","(31.785, -0.255)",27.8117,-0.2117,29.7982,-0.229,31.7848,-0.2555,-0.0108,y = -0.2290 + -0.0108×(x - 29.7982)
9,"(31.785, -0.255)","(33.771, -0.268)","(35.758, -0.259)",31.7848,-0.2555,33.7713,-0.2684,35.7579,-0.2586,0.0045,y = -0.2684 + 0.0045×(x - 33.7713)
10,"(35.758, -0.259)","(37.744, -0.357)","(39.731, -0.449)",35.7579,-0.2586,37.7444,-0.3572,39.731,-0.4489,-0.085,y = -0.3572 + -0.0850×(x - 37.7444)
11,"(39.731, -0.449)","(41.718, -0.201)","(43.704, -0.579)",39.731,-0.4489,41.7175,-0.2012,43.7041,-0.5794,0.1005,y = -0.2012 + 0.1005×(x - 41.7175)
12,"(43.704, -0.579)","(45.691, 0.710)","(47.677, 5.278)",43.7041,-0.5794,45.6906,0.7097,47.6772,5.2776,1.5335,y = 0.7097 + 1.5335×(x - 45.6906)
