Punto,x_pixels,y_pixels,x_cm,y_cm
1,0,0,0.0,0.0
2,44,2,1.401,0.064
3,89,2,2.834,0.064
4,133,1,4.235,0.032
5,177,0,5.636,0.0
6,222,0,7.068,0.0
7,266,-4,8.469,-0.127
8,311,-1,9.902,-0.032
9,355,-5,11.303,-0.159
10,431,-6,13.723,-0.191
11,519,-7,16.525,-0.223
12,608,-4,19.359,-0.127
13,697,-5,22.192,-0.159
14,786,-6,25.026,-0.191
15,874,-7,27.828,-0.223
16,963,-8,30.662,-0.255
17,1052,-8,33.495,-0.255
18,1141,-13,36.329,-0.414
19,1229,-10,39.131,-0.318
20,1318,-14,41.965,-0.446
21,1407,-14,44.798,-0.446
22,1478,-12,47.059,-0.382
23,1524,-15,48.524,-0.478
24,1568,-11,49.925,-0.35
25,1583,-16,50.402,-0.509
26,1586,-6,50.498,-0.191
27,1589,78,50.593,2.483
28,1592,70,50.689,2.229
29,1596,175,50.816,5.572
30,1599,177,50.912,5.636
