Punto,x_pixels,y_pixels,x_cm,y_cm
1,0,0,0.0,0.0
2,44,2,1.4009,0.0637
3,89,2,2.8337,0.0637
4,133,1,4.2347,0.0318
5,177,0,5.6356,0.0
6,222,0,7.0684,0.0
7,266,-4,8.4694,-0.1274
8,311,-1,9.9021,-0.0318
9,355,-5,11.3031,-0.1592
10,431,-6,13.7229,-0.191
11,519,-7,16.5248,-0.2229
12,608,-4,19.3585,-0.1274
13,697,-5,22.1923,-0.1592
14,786,-6,25.026,-0.191
15,874,-7,27.8279,-0.2229
16,963,-8,30.6616,-0.2547
17,1052,-8,33.4953,-0.2547
18,1141,-13,36.3291,-0.4139
19,1229,-10,39.131,-0.3184
20,1318,-14,41.9647,-0.4458
21,1407,-14,44.7984,-0.4458
22,1478,-12,47.059,-0.3821
23,1524,-15,48.5237,-0.4776
24,1568,-11,49.9246,-0.3502
25,1583,-16,50.4022,-0.5094
26,1586,-6,50.4977,-0.191
27,1589,78,50.5932,2.4835
28,1592,70,50.6888,2.2288
29,1596,175,50.8161,5.5719
30,1599,177,50.9116,5.6356
