Punto,Coordenadas_Pixels,Coordenadas_CM,x_cm,y_cm
1,"(0.0, 0.0)","(0.000, 0.000)",0.0,0.0
2,"(54.0, -1.0)","(1.610, -0.030)",1.6101,-0.0298
3,"(107.0, 2.0)","(3.190, 0.060)",3.1904,0.0596
4,"(161.0, -2.0)","(4.801, -0.060)",4.8005,-0.0596
5,"(214.0, -3.0)","(6.381, -0.089)",6.3808,-0.0895
6,"(268.0, -4.0)","(7.991, -0.119)",7.9909,-0.1193
7,"(322.0, -5.0)","(9.601, -0.149)",9.601,-0.1491
8,"(383.0, -2.0)","(11.420, -0.060)",11.4199,-0.0596
9,"(490.0, -6.0)","(14.610, -0.179)",14.6103,-0.1789
10,"(597.0, -7.0)","(17.801, -0.209)",17.8007,-0.2087
11,"(704.0, -5.0)","(20.991, -0.149)",20.9911,-0.1491
12,"(812.0, -6.0)","(24.211, -0.179)",24.2113,-0.1789
13,"(919.0, -7.0)","(27.402, -0.209)",27.4017,-0.2087
14,"(1026.0, -8.0)","(30.592, -0.239)",30.5921,-0.2385
15,"(1133.0, -9.0)","(33.783, -0.268)",33.7825,-0.2684
16,"(1240.0, -10.0)","(36.973, -0.298)",36.9729,-0.2982
17,"(1348.0, -14.0)","(40.193, -0.417)",40.1931,-0.4174
18,"(1455.0, -14.0)","(43.384, -0.417)",43.3836,-0.4174
19,"(1512.0, -12.0)","(45.083, -0.358)",45.0831,-0.3578
20,"(1566.0, -15.0)","(46.693, -0.447)",46.6932,-0.4473
21,"(1584.0, 6.0)","(47.230, 0.179)",47.2299,0.1789
22,"(1587.0, 51.0)","(47.319, 1.521)",47.3194,1.5207
23,"(1591.0, 59.0)","(47.439, 1.759)",47.4387,1.7592
24,"(1595.0, 160.0)","(47.558, 4.771)",47.5579,4.7707
25,"(1599.0, 177.0)","(47.677, 5.278)",47.6772,5.2776
